2012-10-25 13:19:17 UT=1351171157 &: ID=28b5a3d2020000c6 PS=1 T=4.25   T_MCU=4.1   V_MCU=3.08 UP=18003C RH=62.7 V_IN=13.30 [ADDR=181.198 SEQ=120 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:19:50 UT=1351171190 &: ID=28461fef030000fd PS=1 T=7.25   T_MCU=6.3   V_MCU=3.08 UP=1A32DC RH=72.4 V_IN=4.88  [ADDR=70.253 SEQ=218 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:19:52 UT=1351171192 &: ID=28f635ef030000bf PS=0 T=11.94  T1=6.69   P1=0 P1_T=0.000   UP=2C963D RH=53.9 [ADDR=246.191 SEQ=76 RSSI=5 LQI=220 DRP=1.00]
2012-10-25 13:20:10 UT=1351171210 &: ID=284837ce0200007c PS=0 T=21.81  P0_T=0.000   P1=E P1_T=0.000   UP=B8214 RH=35.8
2012-10-25 13:20:17 UT=1351171217 &: ID=28b5a3d2020000c6 PS=1 T=4.25   T_MCU=4.1   V_MCU=3.08 UP=180078 RH=62.5 V_IN=13.29 [ADDR=181.198 SEQ=121 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:20:50 UT=1351171250 &: ID=28461fef030000fd PS=1 T=7.25   T_MCU=7.4   V_MCU=3.08 UP=1A3318 RH=72.3 V_IN=4.88  [ADDR=70.253 SEQ=219 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:20:52 UT=1351171252 &: ID=28f635ef030000bf PS=0 T=11.94  T1=6.69   P1=0 P1_T=0.000   UP=2C9679 RH=53.9 [ADDR=246.191 SEQ=77 RSSI=6 LQI=192 DRP=1.00]
2012-10-25 13:21:10 UT=1351171270 &: ID=284837ce0200007c PS=0 T=21.81  P0_T=0.000   P1=E P1_T=0.000   UP=B8250 RH=35.8
2012-10-25 13:21:17 UT=1351171277 &: ID=28b5a3d2020000c6 PS=1 T=4.19   T_MCU=4.1   V_MCU=3.08 UP=1800B4 RH=62.7 V_IN=13.29 [ADDR=181.198 SEQ=122 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:21:50 UT=1351171310 &: ID=28461fef030000fd PS=1 T=7.19   T_MCU=7.4   V_MCU=3.08 UP=1A3354 RH=72.2 V_IN=4.85  [ADDR=70.253 SEQ=220 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:21:52 UT=1351171312 &: ID=28f635ef030000bf PS=0 T=11.94  T1=6.63   P1=0 P1_T=0.000   UP=2C96B5 RH=54.0 [ADDR=246.191 SEQ=78 RSSI=6 LQI=224 DRP=1.00]
2012-10-25 13:22:10 UT=1351171330 &: ID=284837ce0200007c PS=0 T=21.81  P0_T=0.000   P1=E P1_T=0.000   UP=B828C RH=35.8
